"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",1907.52749287007,1.41621495748334,0.0725508614145731,19.5203052020396,7.37961422639269e-85,3.00763557410861e-82
"ABCA17P",48.5360967319678,-1.86153948667767,0.37940055787132,-4.90652806923136,9.27027273713476e-07,6.85448540774065e-06
"ABCC3",2487.14210828228,1.28043478549016,0.209212295376165,6.12026546139618,9.34195927724045e-10,1.00778425702279e-08
"ABHD14B",1390.1220263922,1.5565220147893,0.132307320309556,11.7644436539682,5.95173879458382e-32,3.6312734477853e-30
"ABI3BP",5931.25269949174,1.08952586511005,0.164243079843538,6.63361808697181,3.27556691975965e-11,4.10261233502533e-10
"AC000120.4",426.212413005007,2.49905797620059,0.937699337616639,2.66509517064657,0.00769665376809656,0.0270338206991104
"AC002310.4",16.4603048692667,20.7864952549701,3.90953793959711,5.3168675112313,1.05568877652415e-07,8.88959747438398e-07
"AC002985.1",108.390451375798,5.46816769076686,1.5552875470517,3.51585640940331,0.000438337982882351,0.00208995119681248
"AC004817.3",10.9948848689747,2.83536330379323,0.85093975210147,3.33203766399567,0.000862125875303742,0.00385694864696809
"AC004922.1",7812.61490620839,1.5832841827132,0.118636846347794,13.345636127849,1.25593858043018e-40,1.1225226487722e-38
"AC005225.2",416.918203371331,1.08697183679163,0.419457667277044,2.59137434260726,0.00955934448253734,0.0326353362146333
"AC005280.2",6.1719563522539,4.09717890647975,1.41262139819137,2.90040835550524,0.00372676797956836,0.0142617986643463
"AC005670.3",1532.76879238456,1.07758293556185,0.399034087880779,2.70047840094255,0.00692398327314954,0.0246199495969711
"AC007000.2",31.0842402765789,-1.11796513291302,0.32086330545186,-3.48424115165998,0.000493534591335087,0.00232269004670356
"AC007114.2",13.4388344505668,1.53896406200592,0.514087436361754,2.99358426826634,0.00275721356262347,0.0109376091063152
"AC007240.3",53.9673417260335,1.60034703180261,0.519817898128544,3.0786685829099,0.0020792785009708,0.00850834082184397
"AC007785.1",13.2110128953709,7.11960896275837,1.24488158925761,5.7191053544331,1.07086384708095e-08,1.02067649559475e-07
"AC008267.3",50.6731280969622,9.06420583674945,1.4064240348865,6.44485988002965,1.15707265186902e-10,1.37165948224473e-09
"AC008267.5",60.5588657004526,-1.13379426380303,0.333694940251306,-3.3976968992972,0.000679556656581469,0.00310702390572519
"AC008393.1",11.3556064697415,6.88321872928656,1.26385220350898,5.44622125132659,5.14511314302621e-08,4.51537965670061e-07
"AC008393.3",11.3556064697415,6.88321872928656,1.26385220350898,5.44622125132659,5.14511314302621e-08,4.51537965670061e-07
"AC008555.7",14.9118375887678,-1.41196459457198,0.540088285646772,-2.61432182866383,0.0089404777606191,0.0308371361211378
"AC008894.3",25.4719601837761,-1.45671382613288,0.567344710915522,-2.56759920046173,0.0102405483750746,0.0345728785267182
"AC009086.2",12.7297890037117,-4.79819696650233,0.951501164648313,-5.04276520594255,4.58852147786738e-07,3.57025164856745e-06
"AC009275.1",158.483537710353,-1.9058531523075,0.787375069935114,-2.42051498082681,0.0154985406747829,0.0492175879493104
"AC009902.3",12.9998199033125,1.65356646416421,0.557891086350634,2.96395928277109,0.00303708469794665,0.0118927194417288
"AC010149.1",95.2370254662773,1.71179005861227,0.248490623969965,6.88875109758337,5.62843173758546e-12,7.66173560110331e-11
"AC010328.3",19.7835830702568,-1.55614722309127,0.456736259901695,-3.40710243462212,0.000656564812596845,0.00300865251879886
"AC010336.2",43.4559565765214,-1.42222859875909,0.529840359801773,-2.68425870632275,0.00726908334166997,0.0257213718243706
"AC010536.1",57.3445697305421,-1.06412031463868,0.3837675509928,-2.77282514346463,0.00555719723057819,0.0202983626393121
"AC010680.2",41.403701703853,2.00559010198185,0.519657925973862,3.8594429176141,0.00011364579836501,0.000608959789398417
"AC010680.3",11.9321896733739,6.98429739792247,1.25094285701121,5.58322657088395,2.36096842001959e-08,2.16915304162125e-07
"AC010809.1",8.31217677848899,6.43622102576906,2.4850394092761,2.58998750753975,0.00959794149119047,0.0327342011225907
"AC010976.1",8.95454458911762,-3.23604806355869,1.13779304242202,-2.84414471077281,0.00445308181075546,0.0167302546348774
"AC011352.1",26.5632414947463,1.29884875670235,0.360494784988864,3.60296129316398,0.000314612392433129,0.00155573194200493
"AC011352.3",87.6724973818937,1.32154105706213,0.216780460022785,6.09621852875127,1.0860692070736e-09,1.1636129496186e-08
"AC011462.1",216.399303424275,1.06939014215076,0.246624411878304,4.33610823035006,1.45027555288319e-05,8.92322319343407e-05
"AC011979.1",157.988510219118,1.19178556144031,0.164222108820654,7.25715660332833,3.95311941736363e-13,6.02518081428842e-12
"AC015712.5",211.806720073836,-1.34331943847306,0.279928880557057,-4.79878830580061,1.59628403880908e-06,1.13675101777674e-05
"AC015911.4",7.34493137018809,-1.81297848457095,0.673793016769549,-2.69070536418312,0.00713011353491271,0.0252823131398036
"AC016682.1",29.2113828817285,3.94936432011634,1.61115880562761,2.45125701223345,0.0142358266048483,0.0458189510014352
"AC018362.3",4.9456827972178,2.5830352993315,0.964243869227785,2.67881952041876,0.00738822044382889,0.0260750183935478
"AC018647.2",202.690951166722,1.09800123509277,0.23093827129575,4.7545226217036,1.9891586915507e-06,1.40065915053283e-05
"AC019129.1",28.9305716691866,-1.79746350894721,0.672077300869011,-2.67448923899535,0.00748431781324789,0.0263821879256816
