"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",1907.52749287007,1.41621495748334,0.0725508614145731,19.5203052020396,7.37961422639269e-85,3.00763557410861e-82
"ABCC3",2487.14210828228,1.28043478549016,0.209212295376165,6.12026546139618,9.34195927724045e-10,1.00778425702279e-08
"ABHD14B",1390.1220263922,1.5565220147893,0.132307320309556,11.7644436539682,5.95173879458382e-32,3.6312734477853e-30
"ABI3BP",5931.25269949174,1.08952586511005,0.164243079843538,6.63361808697181,3.27556691975965e-11,4.10261233502533e-10
"AC000120.4",426.212413005007,2.49905797620059,0.937699337616639,2.66509517064657,0.00769665376809656,0.0270338206991104
"AC002310.4",16.4603048692667,20.7864952549701,3.90953793959711,5.3168675112313,1.05568877652415e-07,8.88959747438398e-07
"AC002985.1",108.390451375798,5.46816769076686,1.5552875470517,3.51585640940331,0.000438337982882351,0.00208995119681248
"AC004817.3",10.9948848689747,2.83536330379323,0.85093975210147,3.33203766399567,0.000862125875303742,0.00385694864696809
"AC004922.1",7812.61490620839,1.5832841827132,0.118636846347794,13.345636127849,1.25593858043018e-40,1.1225226487722e-38
"AC005225.2",416.918203371331,1.08697183679163,0.419457667277044,2.59137434260726,0.00955934448253734,0.0326353362146333
"AC005280.2",6.1719563522539,4.09717890647975,1.41262139819137,2.90040835550524,0.00372676797956836,0.0142617986643463
"AC005670.3",1532.76879238456,1.07758293556185,0.399034087880779,2.70047840094255,0.00692398327314954,0.0246199495969711
"AC007114.2",13.4388344505668,1.53896406200592,0.514087436361754,2.99358426826634,0.00275721356262347,0.0109376091063152
"AC007240.3",53.9673417260335,1.60034703180261,0.519817898128544,3.0786685829099,0.0020792785009708,0.00850834082184397
"AC007785.1",13.2110128953709,7.11960896275837,1.24488158925761,5.7191053544331,1.07086384708095e-08,1.02067649559475e-07
"AC008267.3",50.6731280969622,9.06420583674945,1.4064240348865,6.44485988002965,1.15707265186902e-10,1.37165948224473e-09
"AC008393.1",11.3556064697415,6.88321872928656,1.26385220350898,5.44622125132659,5.14511314302621e-08,4.51537965670061e-07
"AC008393.3",11.3556064697415,6.88321872928656,1.26385220350898,5.44622125132659,5.14511314302621e-08,4.51537965670061e-07
"AC009902.3",12.9998199033125,1.65356646416421,0.557891086350634,2.96395928277109,0.00303708469794665,0.0118927194417288
"AC010149.1",95.2370254662773,1.71179005861227,0.248490623969965,6.88875109758337,5.62843173758546e-12,7.66173560110331e-11
"AC010680.2",41.403701703853,2.00559010198185,0.519657925973862,3.8594429176141,0.00011364579836501,0.000608959789398417
"AC010680.3",11.9321896733739,6.98429739792247,1.25094285701121,5.58322657088395,2.36096842001959e-08,2.16915304162125e-07
"AC010809.1",8.31217677848899,6.43622102576906,2.4850394092761,2.58998750753975,0.00959794149119047,0.0327342011225907
"AC011352.1",26.5632414947463,1.29884875670235,0.360494784988864,3.60296129316398,0.000314612392433129,0.00155573194200493
