Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
A4GALT	119.0	354.0	293.0	134.0	250.0	279.0
AAAS	1724.0	4189.0	3078.0	3276.0	3015.0	2913.0
AACS	1245.0	2660.0	2355.0	1119.0	1157.0	1044.0
AADACP1	5.0	4.0	15.0	26.0	16.0	11.0
AADAT	343.0	775.0	679.0	583.0	633.0	610.0
AAGAB	1624.0	4706.0	3388.0	1010.0	1066.0	946.0
AAK1	2443.0	7033.0	5851.0	2286.0	2335.0	2011.0
AAMDC	31.0	103.0	74.0	160.0	14.0	8.0
AAMP	3929.0	10600.0	6609.0	5145.0	4629.0	4772.0
AAR2	1853.0	4771.0	3373.0	2429.0	2267.0	2075.0
AARS1	15034.0	101.0	30817.0	13464.0	18784.0	15289.0
AARSD1	57.0	121.0	99.0	79.0	80.0	83.0
AASDH	431.0	987.0	654.0	762.0	586.0	624.0
AASDHPPT	2183.0	4946.0	3559.0	4306.0	4023.0	3867.0
AASS	748.0	1625.0	1354.0	548.0	514.0	0.0
AATF_KI270857.1_1185240_1293236	1294.0	3559.0	2546.0	2392.0	2100.0	2060.0
AATF_chr17_36948954_37056871	1294.0	3559.0	2544.0	2392.0	2100.0	2059.0
ABALON	348.0	1032.0	999.0	486.0	553.0	505.0
ABBA01045074.1	1.0	1.0	5.0	0.0	1.0	0.0
ABCA10	334.0	852.0	805.0	616.0	4.0	340.0
ABCA17P	17.0	23.0	28.0	89.0	63.0	68.0
ABCA2	2152.0	5246.0	4537.0	4155.0	3487.0	3519.0
ABCA3	2019.0	4497.0	3352.0	5034.0	4044.0	4230.0
ABCA5	23.0	1408.0	1033.0	1017.0	909.0	16.0
ABCA7	5.0	784.0	107.0	7.0	552.0	518.0
ABCA8	9.0	33.0	30.0	2.0	13.0	3.0
ABCB10	886.0	2152.0	1673.0	2433.0	2482.0	2558.0
ABCB10P3_KI270905.1_649964_652126	1.0	1.0	0.0	1.0	1.0	3.0
ABCB10P4_GL383554.1_206204_208386	1.0	1.0	0.0	1.0	1.0	3.0
ABCB10P4_KI270905.1_782424_784605	1.0	1.0	0.0	2.0	1.0	3.0
ABCB10P4_chr15_28506625_28508808	1.0	1.0	0.0	2.0	1.0	3.0
ABCB6	164.0	387.0	288.0	220.0	166.0	194.0
ABCB7	1334.0	3248.0	2353.0	2078.0	1786.0	1619.0
ABCB8	766.0	1925.0	883.0	1780.0	1367.0	951.0
ABCB9	612.0	1687.0	1043.0	793.0	716.0	728.0
ABCC10	645.0	1954.0	1332.0	1643.0	1297.0	1109.0
ABCC1_KI270853.1_1607547_1800966	158.0	428.0	3450.0	10.0	2662.0	215.0
ABCC1_chr16_15949577_16143074	858.0	1852.0	2020.0	1283.0	1445.0	1468.0
ABCC3	1988.0	5359.0	4941.0	1419.0	1763.0	1038.0
ABCC4	2766.0	6124.0	4775.0	3492.0	3892.0	3266.0
ABCC5	1762.0	4425.0	4288.0	5262.0	4778.0	4424.0
ABCD1	2149.0	5203.0	3791.0	3720.0	3091.0	3130.0
ABCD3	2312.0	5984.0	4544.0	2589.0	3136.0	2379.0
ABCD4	743.0	1978.0	1538.0	1291.0	1212.0	676.0
ABCE1	13900.0	35640.0	26585.0	21379.0	22319.0	21639.0
ABCF1_GL000251.2_2051098_2076903	230.0	1227.0	827.0	601.0	825.0	523.0
ABCF1_GL000252.2_1827203_1853009	230.0	1227.0	827.0	602.0	825.0	525.0
ABCF1_GL000253.2_1881605_1907409	643.0	1734.0	1251.0	783.0	749.0	725.0
ABCF1_GL000254.2_1915422_1941226	643.0	1734.0	1251.0	783.0	749.0	725.0
ABCF1_GL000255.2_1826463_1852267	230.0	1226.0	827.0	599.0	825.0	523.0
ABCF1_GL000256.2_1872133_1897937	230.0	1226.0	827.0	602.0	825.0	523.0
ABCF1_chr6_30571393_30597179	641.0	1735.0	1253.0	783.0	750.0	727.0
ABCF2P1	5.0	8.0	2.0	5.0	3.0	4.0
ABCF2_chr7_151207837_151227166	580.0	2078.0	1011.0	1167.0	1676.0	600.0
ABCF3	2134.0	6078.0	4436.0	4697.0	4067.0	4078.0
ABHD10	1877.0	5142.0	4046.0	4329.0	3868.0	4268.0
ABHD11	229.0	960.0	488.0	884.0	637.0	856.0
ABHD11-AS1	4.0	15.0	54.0	55.0	38.0	53.0
ABHD12	566.0	1647.0	1166.0	873.0	854.0	812.0
ABHD12B	56.0	0.0	0.0	98.0	0.0	0.0
ABHD13	525.0	1426.0	1182.0	598.0	792.0	780.0
ABHD14A	190.0	710.0	414.0	491.0	438.0	435.0
ABHD14A-ACY1	309.0	100.0	199.0	169.0	249.0	56.0
ABHD14B	1346.0	3296.0	2432.0	609.0	712.0	720.0
ABHD16A_GL000251.2_3164239_3180705	103.0	285.0	202.0	224.0	189.0	194.0
ABHD16A_GL000252.2_2934713_2951180	103.0	285.0	202.0	224.0	189.0	194.0
ABHD16A_GL000253.2_2991996_3008464	96.0	255.0	185.0	201.0	168.0	176.0
ABHD16A_GL000254.2_3028821_3045289	103.0	285.0	202.0	224.0	189.0	194.0
ABHD16A_GL000255.2_2942773_2959248	110.0	306.0	213.0	244.0	190.0	206.0
ABHD16A_GL000256.2_2986234_3002713	110.0	304.0	212.0	241.0	189.0	205.0
ABHD16A_chr6_31686955_31703356	63.0	256.0	187.0	201.0	170.0	176.0
ABHD16B	23.0	112.0	103.0	86.0	94.0	0.0
ABHD17A	531.0	3434.0	2217.0	2745.0	2278.0	2370.0
ABHD17AP3	5.0	11.0	13.0	9.0	8.0	5.0
ABHD17AP4	14.0	37.0	25.0	45.0	27.0	35.0
ABHD17AP5	5.0	26.0	19.0	16.0	18.0	16.0
ABHD17B	998.0	3111.0	2559.0	1534.0	1614.0	1522.0
ABHD17C	1102.0	2541.0	1741.0	1532.0	1477.0	1440.0
ABHD18	421.0	1177.0	1011.0	540.0	634.0	708.0
ABHD2	3461.0	10116.0	8251.0	3890.0	4178.0	4026.0
ABHD3	2033.0	4011.0	4061.0	3577.0	3354.0	2993.0
ABHD4	1796.0	5882.0	4120.0	2741.0	3412.0	3447.0
